benchmark,alignment_id,our_query_id,our_source_original,our_source_normalized,t2t_source_id,t2t_source_original,t2t_source_normalized,our_gold_original,t2t_gold_original,normalized_gold,our_prediction,t2t_prediction,our_status,our_original_graph_relationship,t2t_original_published_classification,ours_recomputed_relationship,t2t_recomputed_relationship,alignment_status
Biomappings-EFO,Biomappings-EFO::352,352,NCIH2107,NCIH2107,NCIH2107,NCIH2107,NCIH2107,EFO:0002278,EFO:0002278,EFO:0002278,EFO:0002278,EFO:0002278,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::353,353,NCI-H2110,NCI-H2110,NCIH2110_LUNG,NCI-H2110,NCI-H2110,EFO:0006673,EFO:0006673,EFO:0006673,EFO:0006673,EFO:0006673,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::354,354,NCI-H2122,NCI-H2122,NCIH2122_LUNG,NCI-H2122,NCI-H2122,EFO:0002279,EFO:0002279,EFO:0002279,EFO:0002279,EFO:0002279,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::355,355,NCI-H2126,NCI-H2126,NCIH2126_LUNG,NCI-H2126,NCI-H2126,EFO:0002280,EFO:0002280,EFO:0002280,EFO:0002280,EFO:0002280,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::356,356,NCI-H2170,NCI-H2170,NCIH2170_LUNG,NCI-H2170,NCI-H2170,EFO:0002281,EFO:0002281,EFO:0002281,EFO:0002281,EFO:0002281,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::357,357,NCI-H2171,NCI-H2171,NCIH2171_LUNG,NCI-H2171,NCI-H2171,EFO:0002282,EFO:0002282,EFO:0002282,EFO:0002282,EFO:0002282,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::358,358,NCI-H2172,NCI-H2172,NCIH2172_LUNG,NCI-H2172,NCI-H2172,EFO:0006675,EFO:0006675,EFO:0006675,EFO:0006675,EFO:0006675,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::359,359,NCI-H2196,NCI-H2196,NCIH2196_LUNG,NCI-H2196,NCI-H2196,EFO:0006676,EFO:0006676,EFO:0006676,EFO:0006676,EFO:0006676,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::360,360,NCI-H2228,NCI-H2228,NCIH2228_LUNG,NCI-H2228,NCI-H2228,EFO:0002284,EFO:0002284,EFO:0002284,EFO:0002284,EFO:0002284,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::361,361,NCI-H226,NCI-H226,NCIH226_LUNG,NCI-H226,NCI-H226,EFO:0002285,EFO:0002285,EFO:0002285,EFO:0002285,EFO:0002285,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::362,362,NCI-H2347,NCI-H2347,NCIH2347_LUNG,NCI-H2347,NCI-H2347,EFO:0002287,EFO:0002287,EFO:0002287,EFO:0002287,EFO:0002287,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::363,363,NCI-H23,NCI-H23,NCIH23_LUNG,NCI-H23,NCI-H23,EFO:0002286,EFO:0002286,EFO:0002286,EFO:0002286,EFO:0002286,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::364,364,NCI-H2405,NCI-H2405,NCIH2405_LUNG,NCI-H2405,NCI-H2405,EFO:0002288,EFO:0002288,EFO:0002288,EFO:0002288,EFO:0002288,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::365,365,NCI-H2452,NCI-H2452,NCIH2452_PLEURA,NCI-H2452,NCI-H2452,EFO:0006680,EFO:0006680,EFO:0006680,EFO:0006680,EFO:0006680,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::366,366,NCI-H28,NCI-H28,NCIH28_PLEURA,NCI-H28,NCI-H28,EFO:0006686,EFO:0006686,EFO:0006686,EFO:0006686,EFO:0006686,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::367,367,NCI-H292,NCI-H292,NCIH292_LUNG,NCI-H292,NCI-H292,EFO:0006690,EFO:0006690,EFO:0006690,EFO:0006690,EFO:0006690,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::368,368,NCI-H322,NCI-H322,NCIH322_LUNG,NCI-H322,NCI-H322,EFO:0006691,EFO:0006691,EFO:0006691,,EFO:0006691,unmapped,,Same,No Top-1 prediction,Same,matched
Biomappings-EFO,Biomappings-EFO::369,369,NCI-H3255,NCI-H3255,NCIH3255_LUNG,NCI-H3255,NCI-H3255,EFO:0003123,EFO:0003123,EFO:0003123,EFO:0003123,EFO:0003123,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::370,370,NCI-H358,NCI-H358,NCIH358_LUNG,NCI-H358,NCI-H358,EFO:0002291,EFO:0002291,EFO:0002291,EFO:0002291,EFO:0002291,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::371,371,NCI-H441,NCI-H441,NCIH441_LUNG,NCI-H441,NCI-H441,EFO:0002292,EFO:0002292,EFO:0002292,EFO:0002292,EFO:0002292,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::372,372,NCI-H446,NCI-H446,NCIH446_LUNG,NCI-H446,NCI-H446,EFO:0002293,EFO:0002293,EFO:0002293,EFO:0002293,EFO:0002293,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::373,373,NCI-H460,NCI-H460,NCIH460_LUNG,NCI-H460,NCI-H460,EFO:0003044,EFO:0003044,EFO:0003044,EFO:0003044,EFO:0003044,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::374,374,NCI-H508,NCI-H508,NCIH508_LARGE_INTESTINE,NCI-H508,NCI-H508,EFO:0002294,EFO:0002294,EFO:0002294,EFO:0002294,EFO:0002294,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::375,375,NCI-H520,NCI-H520,NCIH520_LUNG,NCI-H520,NCI-H520,EFO:0003124,EFO:0003124,EFO:0003124,EFO:0003124,EFO:0003124,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::376,376,NCI-H522,NCI-H522,NCIH522_LUNG,NCI-H522,NCI-H522,EFO:0002295,EFO:0002295,EFO:0002295,EFO:0002295,EFO:0002295,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::377,377,NCI-H524,NCI-H524,NCIH524_LUNG,NCI-H524,NCI-H524,EFO:0002296,EFO:0002296,EFO:0002296,EFO:0002296,EFO:0002296,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::378,378,NCI-H596,NCI-H596,NCIH596_LUNG,NCI-H596,NCI-H596,EFO:0006694,EFO:0006694,EFO:0006694,EFO:0006694,EFO:0006694,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::379,379,NCI-H650,NCI-H650,NCIH650_LUNG,NCI-H650,NCI-H650,EFO:0002298,EFO:0002298,EFO:0002298,EFO:0002298,EFO:0002298,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::380,380,NCI-H661,NCI-H661,NCIH661_LUNG,NCI-H661,NCI-H661,EFO:0002299,EFO:0002299,EFO:0002299,EFO:0002299,EFO:0002299,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::381,381,NCI-H69,NCI-H69,NCIH69_LUNG,NCI-H69,NCI-H69,EFO:0002300,EFO:0002300,EFO:0002300,EFO:0002300,EFO:0002300,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::382,382,NCI-H716,NCI-H716,NCIH716_LARGE_INTESTINE,NCI-H716,NCI-H716,EFO:0002301,EFO:0002301,EFO:0002301,EFO:0002301,EFO:0002301,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::383,383,NCI-H727,NCI-H727,NCIH727_LUNG,NCI-H727,NCI-H727,EFO:0006695,EFO:0006695,EFO:0006695,EFO:0006695,EFO:0006695,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::384,384,NCI-H747,NCI-H747,NCIH747_LARGE_INTESTINE,NCI-H747,NCI-H747,EFO:0002303,EFO:0002303,EFO:0002303,EFO:0002303,EFO:0002303,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::385,385,NCI-H810,NCI-H810,NCIH810_LUNG,NCI-H810,NCI-H810,EFO:0002305,EFO:0002305,EFO:0002305,EFO:0002305,EFO:0002305,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::386,386,NCI-H82,NCI-H82,NCIH82_LUNG,NCI-H82,NCI-H82,EFO:0002306,EFO:0002306,EFO:0002306,EFO:0002306,EFO:0002306,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::387,387,NCI-H838,NCI-H838,NCIH838_LUNG,NCI-H838,NCI-H838,EFO:0002307,EFO:0002307,EFO:0002307,EFO:0002307,EFO:0002307,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::388,388,NCI-H889,NCI-H889,NCIH889_LUNG,NCI-H889,NCI-H889,EFO:0006697,EFO:0006697,EFO:0006697,EFO:0006697,EFO:0006697,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::389,389,NCI-H929,NCI-H929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCI-H929,NCI-H929,EFO:0001221,EFO:0001221,EFO:0001221,EFO:0001221,EFO:0001221,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::390,390,NCI-N87,NCI-N87,NCIN87_STOMACH,NCI-N87,NCI-N87,EFO:0002841,EFO:0002841,EFO:0002841,EFO:0002841,EFO:0002841,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::391,391,NU-DUL-1,NU-DUL-1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NU-DUL-1,NU-DUL-1,EFO:0006700,EFO:0006700,EFO:0006700,EFO:0006700,MONDO:0009664,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::392,392,NUGC-2,NUGC-2,NUGC2_STOMACH,NUGC-2,NUGC-2,EFO:0006701,EFO:0006701,EFO:0006701,EFO:0006701,EFO:0006701,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::393,393,NUGC-3,NUGC-3,NUGC3_STOMACH,NUGC-3,NUGC-3,EFO:0006702,EFO:0006702,EFO:0006702,EFO:0006702,EFO:0006701,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::394,394,NUGC-4,NUGC-4,NUGC4_STOMACH,NUGC-4,NUGC-4,EFO:0006703,EFO:0006703,EFO:0006703,EFO:0006703,EFO:0006701,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::395,395,OAW28,OAW28,OAW28_OVARY,OAW28,OAW28,EFO:0006704,EFO:0006704,EFO:0006704,EFO:0006704,EFO:0006704,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::396,396,OAW42,OAW42,OAW42_OVARY,OAW42,OAW42,EFO:0006705,EFO:0006705,EFO:0006705,EFO:0006705,EFO:0006705,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::397,397,OCI-AML2,OCI-AML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,OCI-AML2,EFO:0006706,EFO:0006706,EFO:0006706,EFO:0006706,EFO:0006706,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::398,398,OCI-AML3,OCI-AML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML3,OCI-AML3,EFO:0006289,EFO:0006289,EFO:0006289,EFO:0006289,EFO:0006289,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::399,399,OCI-AML5,OCI-AML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML5,OCI-AML5,EFO:0006707,EFO:0006707,EFO:0006707,EFO:0006707,EFO:0006707,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::400,400,OCI-LY10,OCI-LY10,OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY10,OCI-LY10,EFO:0006708,EFO:0006708,EFO:0006708,EFO:0006708,EFO:0006708,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::401,401,OCI-LY-19,OCI-LY-19,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY-19,OCI-LY-19,EFO:0006709,EFO:0006709,EFO:0006709,EFO:0006709,EFO:0022450,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::402,402,OCI-LY3,OCI-LY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY3,OCI-LY3,EFO:0006710,EFO:0006710,EFO:0006710,EFO:0006710,EFO:0006710,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::403,403,OCI-M1,OCI-M1,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-M1,OCI-M1,EFO:0006712,EFO:0006712,EFO:0006712,EFO:0006712,EFO:0003027,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::404,404,OCUM-1,OCUM-1,OCUM1_STOMACH,OCUM-1,OCUM-1,EFO:0006714,EFO:0006714,EFO:0006714,EFO:0006714,EFO:0006714,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::405,405,OE19,OE19,OE19_OESOPHAGUS,OE19,OE19,EFO:0002308,EFO:0002308,EFO:0002308,EFO:0002308,EFO:0002308,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::406,406,OE21,OE21,OE21_OESOPHAGUS,OE21,OE21,EFO:0002309,EFO:0002309,EFO:0002309,EFO:0002309,EFO:0002309,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::407,407,OE33,OE33,OE33_OESOPHAGUS,OE33,OE33,EFO:0002310,EFO:0002310,EFO:0002310,EFO:0002310,EFO:0002310,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::408,408,OPM-2,OPM-2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,OPM-2,EFO:0006716,EFO:0006716,EFO:0006716,EFO:0006716,EFO:0003063,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::409,409,OUMS-23,OUMS-23,OUMS23_LARGE_INTESTINE,OUMS-23,OUMS-23,EFO:0006717,EFO:0006717,EFO:0006717,EFO:0006717,EFO:0006717,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::410,410,OV56,OV56,OV56_OVARY,OV56,OV56,EFO:0006458,EFO:0006458,EFO:0006458,EFO:0006458,EFO:0006458,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::411,411,OV7,OV7,OV7_OVARY,OV7,OV7,EFO:0006459,EFO:0006459,EFO:0006459,EFO:0006459,EFO:0006459,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::412,412,OV-90,OV-90,OV90_OVARY,OV-90,OV-90,EFO:0002311,EFO:0002311,EFO:0002311,EFO:0002311,MONDO:0033563,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::413,413,OVCA432,OVCA432,OVCA432,OVCA432,OVCA432,EFO:0006722,EFO:0006722,EFO:0006722,MONDO:0008170,EFO:0006722,mapped,Unrelated,Same,Unrelated,Same,matched
Biomappings-EFO,Biomappings-EFO::414,414,OVCAR-4,OVCAR-4,OVCAR4_OVARY,OVCAR-4,OVCAR-4,EFO:0005442,EFO:0005442,EFO:0005442,EFO:0005442,EFO:0003061,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::415,415,OVCAR-5,OVCAR-5,OVCAR5_OVARY,OVCAR-5,OVCAR-5,EFO:0005443,EFO:0005443,EFO:0005443,EFO:0005443,EFO:0003061,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::416,416,OVCAR-8,OVCAR-8,OVCAR8_OVARY,OVCAR-8,OVCAR-8,EFO:0005444,EFO:0005444,EFO:0005444,EFO:0005444,EFO:0003061,mapped,Same,Sibling,Same,Sibling,matched
Biomappings-EFO,Biomappings-EFO::417,417,OVISE,OVISE,OVISE_OVARY,OVISE,OVISE,EFO:0006724,EFO:0006724,EFO:0006724,EFO:0006724,EFO:0006724,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::418,418,OVKATE,OVKATE,OVKATE_OVARY,OVKATE,OVKATE,EFO:0006725,EFO:0006725,EFO:0006725,EFO:0006725,EFO:0006725,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::419,419,OVMANA,OVMANA,OVMANA_OVARY,OVMANA,OVMANA,EFO:0006726,EFO:0006726,EFO:0006726,EFO:0006726,EFO:0006726,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::420,420,OVSAHO,OVSAHO,OVSAHO_OVARY,OVSAHO,OVSAHO,EFO:0006727,EFO:0006727,EFO:0006727,EFO:0006727,EFO:0006727,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::421,421,OVTOKO,OVTOKO,OVTOKO_OVARY,OVTOKO,OVTOKO,EFO:0006728,EFO:0006728,EFO:0006728,EFO:0006728,EFO:0006728,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::422,422,P3HR-1,P3HR-1,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P3HR-1,P3HR-1,EFO:0002312,EFO:0002312,EFO:0002312,EFO:0002312,EFO:0002312,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::423,423,Panc 02.03,Panc 02.03,PANC0203_PANCREAS,Panc 02.03,Panc 02.03,EFO:0006466,EFO:0006466,EFO:0006466,EFO:0006466,EFO:0006466,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::424,424,Panc 03.27,Panc 03.27,PANC0327_PANCREAS,Panc 03.27,Panc 03.27,EFO:0006467,EFO:0006467,EFO:0006467,EFO:0006467,EFO:0006467,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::425,425,Panc 04.03,Panc 04.03,PANC0403_PANCREAS,Panc 04.03,Panc 04.03,EFO:0006468,EFO:0006468,EFO:0006468,EFO:0006468,EFO:0006468,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::426,426,Panc 05.04,Panc 05.04,PANC0504_PANCREAS,Panc 05.04,Panc 05.04,EFO:0006469,EFO:0006469,EFO:0006469,EFO:0006469,EFO:0006469,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::427,427,Panc 08.13,Panc 08.13,PANC0813_PANCREAS,Panc 08.13,Panc 08.13,EFO:0006470,EFO:0006470,EFO:0006470,EFO:0006470,EFO:0006470,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::428,428,PANC-1,PANC-1,PANC1_PANCREAS,PANC-1,PANC-1,EFO:0002713,EFO:0002713,EFO:0002713,EFO:0002713,EFO:0009012,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::429,429,PA-TU-8902,PA-TU-8902,PATU8902_PANCREAS,PA-TU-8902,PA-TU-8902,EFO:0006729,EFO:0006729,EFO:0006729,EFO:0006729,EFO:0006729,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::430,430,PA-TU-8988S,PA-TU-8988S,PATU8988S_PANCREAS,PA-TU-8988S,PA-TU-8988S,EFO:0006730,EFO:0006730,EFO:0006730,EFO:0006730,EFO:0006730,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::431,431,PA-TU-8988T,PA-TU-8988T,PATU8988T_PANCREAS,PA-TU-8988T,PA-TU-8988T,EFO:0005713,EFO:0005713,EFO:0005713,EFO:0005713,EFO:0005713,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::432,432,PC-14,PC-14,PC14_LUNG,PC-14,PC-14,EFO:0002844,EFO:0002844,EFO:0002844,EFO:0002844,MONDO:0016471,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::433,433,PE/CA-PJ15,PE/CA-PJ15,PECAPJ15_UPPER_AERODIGESTIVE_TRACT,PE/CA-PJ15,PE/CA-PJ15,EFO:0006733,EFO:0006733,EFO:0006733,EFO:0006733,EFO:0009860,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::434,434,Pfeiffer,Pfeiffer,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Pfeiffer,Pfeiffer,EFO:0006472,EFO:0006472,EFO:0006472,MONDO:0007043,EFO:0006472,mapped,Unrelated,Same,Unrelated,Same,matched
Biomappings-EFO,Biomappings-EFO::435,435,PK-45H,PK-45H,PK45H_PANCREAS,PK-45H,PK-45H,EFO:0006734,EFO:0006734,EFO:0006734,EFO:0006734,EFO:0006734,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::436,436,PK-59,PK-59,PK59_PANCREAS,PK-59,PK-59,EFO:0006736,EFO:0006736,EFO:0006736,EFO:0006736,MONDO:0009950,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::437,437,PL-21,PL-21,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL-21,PL-21,EFO:0006473,EFO:0006473,EFO:0006473,EFO:0006473,EFO:0001064,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::438,438,PL45,PL45,PL45_PANCREAS,PL45,PL45,EFO:0006474,EFO:0006474,EFO:0006474,,EFO:0006474,unmapped,,Same,No Top-1 prediction,Same,matched
Biomappings-EFO,Biomappings-EFO::439,439,PLB-985,PLB-985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLB-985,PLB-985,EFO:0002313,EFO:0002313,EFO:0002313,EFO:0002313,EFO:0002313,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::440,440,PLC/PRF/5,PLC/PRF/5,PLCPRF5_LIVER,PLC/PRF/5,PLC/PRF/5,EFO:0006291,EFO:0006291,EFO:0006291,EFO:0006291,MONDO:0014176,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::441,441,PSN1,PSN1,PSN1_PANCREAS,PSN1,PSN1,EFO:0006739,EFO:0006739,EFO:0006739,EFO:0006739,EFO:0006739,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::442,442,QGP-1,QGP-1,QGP1_PANCREAS,QGP-1,QGP-1,EFO:0006741,EFO:0006741,EFO:0006741,EFO:0006741,EFO:0006741,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::443,443,Raji,Raji,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Raji,Raji,EFO:0002324,EFO:0002324,EFO:0002324,EFO:0002324,EFO:0002324,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::444,444,RCH-ACV,RCH-ACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCH-ACV,RCH-ACV,EFO:0002314,EFO:0002314,EFO:0002314,EFO:0030017,EFO:0030017,mapped,Sibling,Sibling,Sibling,Sibling,matched
Biomappings-EFO,Biomappings-EFO::445,445,RCM-1,RCM-1,RCM1_LARGE_INTESTINE,RCM-1,RCM-1,EFO:0006476,EFO:0006476,EFO:0006476,EFO:0006476,EFO:0002630,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::446,446,RD-ES,RD-ES,RDES_BONE,RD-ES,RD-ES,EFO:0002316,EFO:0002316,EFO:0002316,EFO:0002316,MONDO:0017387,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::448,448,REC-1,REC-1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REC-1,REC-1,EFO:0002317,EFO:0002317,EFO:0002317,EFO:0002317,EFO:0000405,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::449,449,RERF-GC-1B,RERF-GC-1B,RERFGC1B_STOMACH,RERF-GC-1B,RERF-GC-1B,EFO:0006743,EFO:0006743,EFO:0006743,EFO:0006743,DOID:7551,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::450,450,RERF-LC-AI,RERF-LC-AI,RERFLCAI_LUNG,RERF-LC-AI,RERF-LC-AI,EFO:0002850,EFO:0002850,EFO:0002850,EFO:0002850,MONDO:0016060,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::451,451,RERF-LC-KJ,RERF-LC-KJ,RERFLCKJ_LUNG,RERF-LC-KJ,RERF-LC-KJ,EFO:0002851,EFO:0002851,EFO:0002851,EFO:0002851,MONDO:0016060,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::452,452,RERF-LC-MS,RERF-LC-MS,RERFLCMS_LUNG,RERF-LC-MS,RERF-LC-MS,EFO:0002852,EFO:0002852,EFO:0002852,EFO:0002852,MONDO:0016060,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::453,453,RI-1,RI-1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RI-1,RI-1,EFO:0006477,EFO:0006477,EFO:0006477,EFO:0006477,EFO:0004008,mapped,Same,Unrelated,Same,Unrelated,matched
Biomappings-EFO,Biomappings-EFO::454,454,RKN,RKN,RKN_SOFT_TISSUE,RKN,RKN,EFO:0006745,EFO:0006745,EFO:0006745,EFO:0006745,EFO:0006745,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::455,455,RKO,RKO,RKO_LARGE_INTESTINE,RKO,RKO,EFO:0001232,EFO:0001232,EFO:0001232,EFO:0001232,EFO:0001232,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::456,456,RL95-2,RL95-2,RL952_ENDOMETRIUM,RL95-2,RL95-2,EFO:0002320,EFO:0002320,EFO:0002320,EFO:0002320,EFO:0002320,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::457,457,RL,RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RL,RL,EFO:0002319,EFO:0002319,EFO:0002319,EFO:0002319,EFO:0002319,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::458,458,RMG-I,RMG-I,RMGI_OVARY,RMG-I,RMG-I,EFO:0006746,EFO:0006746,EFO:0006746,EFO:0006746,EFO:0006746,mapped,Same,Same,Same,Same,matched
Biomappings-EFO,Biomappings-EFO::459,459,RMUG-S,RMUG-S,RMUGS_OVARY,RMUG-S,RMUG-S,EFO:0006747,EFO:0006747,EFO:0006747,EFO:0006747,EFO:0006747,mapped,Same,Same,Same,Same,matched
